source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,The DEMOCRATS have given us the weakest immigration laws anywhere in the World. Mexico has the strongest &amp; they make more than $100 Billion a year on the U.S. Therefore CONGRESS MUST CHANGE OUR WEAK IMMIGRATION LAWS NOW &amp; Mexico must stop illegals from entering the U.S....,03-29-2019 15:23:50,26949,109670,false,1.11165E+18
Twitter for iPhone,We have a National Emergency at our Southern Border. The Dems refuse to do what they know is necessary - amend our immigration laws. Would immediately solve the problem! Mexico with the strongest immigration laws in the World refuses to help with illegal immigration &amp; drugs!,03-28-2019 19:51:49,29045,113808,false,1.11136E+18
Twitter for iPhone,Mexico is doing NOTHING to help stop the flow of illegal immigrants to our Country. They are all talk and no action. Likewise Honduras Guatemala and El Salvador have taken our money for years and do Nothing. The Dems don’t care such BAD laws. May close the Southern Border!,03-28-2019 10:24:04,30563,126741,false,1.11121E+18
Twitter for iPhone,....are all coming back to the U.S. So is everyone else. We now have the best Economy in the World the envy of all. Get that big beautiful plant in Ohio open now. Close a plant in China or Mexico where you invested so heavily pre-Trump but not in the U.S.A. Bring jobs home!,03-18-2019 11:45:19,18698,87396,false,1.10761E+18
Twitter for iPhone,RT @WhiteHouse: January 16 2019: 247 illegal migrants rush the border in New Mexico.This is a national emergency. https://t.co/I6tLEQkbnX,03-14-2019 01:12:29,20098,0,true,1.106E+18
Twitter for iPhone,We have just built this powerful Wall in New Mexico. Completed on January 30 2019 – 47 days ahead of schedule! Many miles more now under construction! #FinishTheWall https://t.co/TYkj3KRdOC,02-20-2019 18:56:02,51245,196598,false,1.0983E+18
Twitter for iPhone,Tremendous numbers of people are coming up through Mexico in the hopes of flooding our Southern Border. We have sent additional military. We will build a Human Wall if necessary. If we had a real Wall this would be a non-event!,02/05/2019 14:10,31694,142300,false,1.09279E+18
Twitter for iPhone,With Caravans marching through Mexico and toward our Country Republicans must be prepared to do whatever is necessary for STRONG Border Security. Dems do nothing. If there is no Wall there is no Security. Human Trafficking Drugs and Criminals of all dimensions - KEEP OUT!,02/03/2019 22:03,34810,142603,false,1.09218E+18
Twitter for iPhone,With Caravans marching through Mexico and toward our Country Republicans must be prepared to do whatever is necessary for STRONG Border Security. Dems do nothing. If there is no Wall there is no Security. Human Trafficking Drugs and Criminals of all dimensionns - KEEP OUT!,02/03/2019 21:59,1332,4704,false,1.09218E+18
Twitter for iPhone,Very sadly Murder cases in Mexico in 2018 rose 33% from 2017 to 33341. This is a big contributor to the Humanitarian Crisis taking place on our Southern Border and then spreading throughout our Country. Worse even than Afghanistan. Much caused by DRUGS. Wall is being built!,01-31-2019 17:43:21,21744,90701,false,1.09103E+18
Twitter for iPhone,With Murders up 33% in Mexico a record why wouldn’t any sane person want to build a Wall! Construction has started and will not stop until it is finished. @LouDobbs @foxandfriends,01-31-2019 12:32:16,16595,71953,false,1.09095E+18
Twitter for iPhone,Very sadly Murder cases in Mexico in 2018 rose 33% from 2017 to 33341. This is a big contributor to the Humanitarian Crises taking place on our Southern Border and then spreading throughout our Country. Worse even than Afghanistan. Much caused by DRUGS. Wall is being built!,01-31-2019 12:25:58,12018,49052,false,1.09095E+18
